x,y,marker
633029.79469,5055370.20531,0
632791.50992,5055044.93934,0
632330.293,5053781.64073,0
632279.79469,5053490.20531,0
632071.50992,5053074.93934,0
631909.79469,5052570.20531,0
631749.27234,5052490.03559,0
631605.96159,5052499.02419,0
631481.50992,5052324.93934,0
631399.79469,5051960.20531,0
631350,5051939.21298,0
631419.96441,5051909.27234,0
631360.15573,5051729.12792,0
631470,5051518.82008,0
631419.96441,5050900.72766,0
631159.79469,5050340.20531,0
630891.50992,5050034.93934,0
630620.293,5049421.64073,0
630580,5049249.11412,0
630599.96441,5048940.72766,0
630530.293,5048811.64073,0
630539.96441,5048620.72766,0
630470.59597,5048489.25989,0
630549.79469,5048419.79469,0
630589.96441,5048170.72766,0
630491.17992,5048130,0
630421.02406,5048183.83806,0
630380,5047970.88588,0
630425.96159,5047920.97581,0
630904.03841,5047940.97581,0
631100.20531,5048209.79469,0
631450.20531,5048449.79469,0
631890.72766,5048629.96441,0
632129.79469,5048589.79469,0
632408.66772,5048410.18961,0
632630.72766,5048509.96441,0
632929.27234,5048479.96441,0
633019.79469,5048419.79469,0
633063.03654,5048293.03654,0
633189.79469,5048209.79469,0
633201.19754,5048045.5677,0
633299.79469,5048029.79469,0
633369.96441,5047929.27234,0
633300,5047540.88588,0
633409.79469,5047319.79469,0
633400.88785,5047236.90983,0
633759.79469,5046669.79469,0
634039.96441,5045899.27234,0
634069.79469,5045560.20531,0
633871.50992,5045405.06066,0
634029.79469,5045379.79469,0
634229.79469,5045059.79469,0
634270,5044891.17992,0
634213.03654,5044723.03654,0
634409.79469,5044739.79469,0
634609.79469,5044569.79469,0
634779.96441,5044149.27234,0
634771.19754,5044015.5677,0
634819.96441,5043989.27234,0
634760.15573,5043129.12792,0
634859.96441,5042849.27234,0
634910.293,5042228.35927,0
635179.96441,5041429.27234,0
635240,5040838.82008,0
635200.15573,5040609.12792,0
635260,5040528.82008,0
635259.96441,5040340.72766,0
635190.39841,5040270,0
635211.19754,5040185.5677,0
635279.79469,5040169.79469,0
635379.96441,5039989.27234,0
635389.96441,5039630.72766,0
635219.79469,5039260.20531,0
635061.71866,5039165.40038,0
635039.79469,5038900.20531,0
634771.50992,5038444.93934,0
634619.79469,5038050.20531,0
634409.79469,5037690.20531,0
634221.39455,5037473.94301,0
634279.96441,5037370.72766,0
634170.293,5037251.64073,0
634049.96441,5036660.72766,0
633989.79469,5036480.20531,0
633861.19754,5036354.4323,0
633839.96441,5036080.72766,0
633771.50992,5036014.93934,0
633729.79469,5035810.20531,0
633479.79469,5035460.20531,0
633134.12215,5035207.69176,0
633099.79469,5035110.20531,0
632963.03654,5035026.96346,0
632879.79469,5034910.20531,0
632783.03654,5034896.96346,0
632740.88785,5034803.09017,0
632729.96441,5034560.72766,0
632510.88785,5034063.09017,0
632589.96441,5033980.72766,0
632470.39841,5033730,0
632859.79469,5033239.79469,0
632900.293,5032808.35927,0
632999.79469,5032609.79469,0
633060.464124155,5032432.79120024,2
632980.20531,5032400.20531,2
632796.20667,5032757.61287,0
632710.20531,5032750.20531,0
632730,5032889.11412,0
632690.03559,5033019.27234,0
632819.40403,5033210.74011,0
632690.20531,5033220.20531,0
632788.49008,5033274.93934,0
632554.4323,5033568.80246,0
632461.02406,5033456.16194,0
632559.79469,5033479.79469,0
632510.88785,5033406.90983,0
632669.79469,5033240.20531,0
632540.20531,5033290.20531,0
632476.90983,5033369.11215,0
632410.88785,5033293.09017,0
632409.79469,5033140.20531,0
632370.20531,5033130.20531,0
632342.2194,5033219.25107,0
632220.20531,5033160.20531,0
632257.77371,5033205.56385,0
631880.20531,5033500.20531,0
631700.20531,5033700.20531,0
631706.41774,5033757.51421,0
631190.20531,5033920.20531,0
631030.20531,5033990.20531,0
630994.03841,5034069.02419,0
630880.20531,5034080.20531,0
630886.96346,5034136.96346,0
630830.20531,5034130.20531,0
630750.20531,5034250.20531,0
630718.28134,5034395.40038,0
630484.03841,5034569.02419,0
629861.33228,5034719.81039,0
629640.72766,5034700.03559,0
629373.09017,5034789.11215,0
628940.72766,5034830.03559,0
628724.03841,5034969.02419,0
628550.20531,5034990.20531,0
628330.20531,5035180.20531,0
628308.49008,5035314.93934,0
628246.22956,5035417.36251,0
628220.20531,5035400.20531,0
628229.707,5035491.64073,0
628180.03559,5035530.72766,0
628208.80246,5035654.4323,0
628170.20531,5035650.20531,0
628144.98404,5035718.15647,0
628045.96159,5035719.02419,0
627679.79469,5035490.20531,0
627418.66772,5035489.81039,0
627350.72766,5035440.03559,0
627314.03841,5035489.02419,0
627230.72766,5035470.03559,0
627194.03841,5035519.02419,0
626980.20531,5035570.20531,0
626982.2194,5035609.25107,0
626780.72766,5035580.03559,0
626491.33228,5035729.81039,0
626378.54326,5035749.76928,0
626340.20531,5035700.20531,0
626336.96346,5035806.96346,0
626050.20531,5035970.20531,0
626039.707,5036121.64073,0
625980.20531,5036170.20531,0
625910.03559,5036370.72766,0
625970,5036570.88588,0
625920,5036711.17992,0
625939.60159,5037100,0
625899.707,5037371.64073,0
625800.03559,5037580.72766,0
625760,5037911.17992,0
625859.84427,5038089.12792,0
625860.03559,5038489.27234,0
625929.84427,5038530.87208,0
625740.03559,5038720.72766,0
625739.11633,5038932.54828,0
625660,5039121.17992,0
625689.84427,5039400.87208,0
625590.03559,5039560.72766,0
625619.84427,5039860.87208,0
625588.49008,5039974.93934,0
625504.98404,5040058.15647,0
625451.50992,5040024.93934,0
625419.79469,5039890.20531,0
625311.19754,5039794.4323,0
625309.79469,5039680.20531,0
625211.50992,5039624.93934,0
625179.79469,5039510.20531,0
625058.66759,5039374.88334,0
625439.79469,5039089.79469,0
625629.79469,5038669.79469,0
625689.96441,5038349.27234,0
625640,5038009.11412,0
625679.96441,5037949.27234,0
625679.96441,5037640.72766,0
625641.02406,5037643.83806,0
625669.96441,5037560.72766,0
625610.39841,5037510,0
625669.96441,5037459.27234,0
625679.96441,5037270.72766,0
625469.79469,5036890.20531,0
625360.12312,5036860.77733,0
625509.79469,5036730.20531,0
